65000001	0-0 2-1 3-2 4-3 5-6 6-7 7-5 8-8 9-18 11-9 12-13 13-12 14-11 15-13 16-14 17-15 18-16 19-17 20-19
65000002	0-6 1-1 2-0 3-2 4-3 5-4 6-5 7-7
65000003	0-0 2-4 4-4 5-4 6-2 7-3 8-5 9-6 10-9 11-11 11-8 13-13 14-13 15-12 16-14 18-16 19-15 20-17 21-18 22-23 23-23 25-18 26-19 27-20 28-21 28-22 29-20 30-24
65000004	0-1 3-0 4-0 5-2 6-3 7-4 8-5 9-6 10-6 11-6 12-7 13-7 14-8 15-9 16-10 16-11 17-12 18-13 20-20 21-20 22-18 23-16 23-17 24-15 24-19 25-22 26-23 27-32 28-29 29-25 30-24 30-26 31-27 32-28 34-30 35-31 36-33
65000005	0-5 2-7 3-5 4-5 5-5 6-10 8-3 9-1 10-0 11-2 14-11 15-15 15-13 17-20 18-20 19-20 20-16 21-19 23-21 23-22 24-21 24-22 25-26 26-23 28-23 29-24 30-25 31-27
65000006	0-1 3-2 4-0 6-2 7-3 8-4 9-5 9-7 11-8 12-9 13-11 14-10 14-12 16-21 17-20 18-18 19-17 20-21 21-15 22-16 23-14 24-22
65000007	0-0 1-1 2-2 3-3 4-4 5-7 6-6 8-5 8-8 10-13 11-10 12-9 12-11 13-12 14-12 15-13 16-13 17-14 18-15 19-18 20-17 21-19 22-20 23-21 24-21 26-25 27-23 28-22 29-24 30-26
65000008	0-1 1-3 2-4 3-0 4-7 5-5 7-10 8-10 9-8 11-13 12-11 13-11 14-14
65000009	0-1 1-16 2-3 2-4 3-0 3-2 5-6 6-9 8-10 9-7 9-8 10-8 11-13 12-12 12-14 14-17 15-19 16-20 17-18 19-21 20-22 21-23 22-23 23-24 24-25 25-26 27-27
65000010	0-0 1-1 1-3 2-6 3-2 5-2 6-4 7-5 8-7 9-9 10-8 11-15 12-13 13-12 13-14 14-11 15-10 16-15 17-16 18-18 19-19 20-19 21-19 22-20
65000011	0-0 1-1 2-2 3-3 4-8 5-8 6-6 6-7 7-4 7-5 8-9 9-15 10-14 11-14 12-12 12-13 13-10 13-11 14-16 15-21 16-17 16-18 17-19 18-20
65000012	0-2 1-7 2-6 3-4 3-5 4-9 5-8 7-11 8-12 10-0 11-1 12-15 14-17 15-18 16-14 17-19 18-21 20-21 21-20 23-22 25-23 26-24 28-25 29-25 30-25 31-26
65000013	0-1 1-2 2-0 4-3 5-3 6-5 7-4 7-6 8-7 9-9 10-8 12-10 13-13 13-14 14-11 14-12 15-16 16-16 17-17 18-17 19-18
65000014	0-3 1-7 3-6 4-4 6-0 7-0 9-8 10-9 11-9 12-10 14-12 15-11 16-15 17-15 18-14
65000015	0-0 0-1 1-3 2-4 3-5 4-8 5-9 5-10 6-12 7-16 8-15 9-13 9-14 11-17 12-18 13-18 14-18 15-18 17-19 18-21 19-22 19-23 21-24 23-29 24-28 25-25 26-27 27-26 28-25 29-30 30-30
65000016	0-0 1-1 2-2 4-3 5-3 7-8 8-5 8-6 9-4 11-13 12-11 12-12 13-14 14-15 17-17 18-17 19-18 20-19 21-19 22-20 23-21
65000017	0-1 1-0 2-2 3-3 4-4 5-5 6-6 7-7 9-8 10-15 11-13 11-14 12-16 13-17 14-11 14-12 15-9 16-9 17-9
65000018	0-1 1-2 2-3 4-8 5-10 5-12 6-13 7-14 9-19 10-19 11-20 11-21 12-16 12-18 13-15 14-22 15-22
65000019	0-0 1-0 2-2 2-3 3-2 3-3 4-2 4-3 8-5 9-6 10-7 11-9 12-8 13-9 14-10
65000020	0-1 1-0 2-2 3-3 4-4 5-5 6-6 7-8 8-7 8-10 9-5 10-11 11-15 12-14 13-13
65000021	1-4 3-0 4-3 5-2 7-5 8-10 9-9 9-8 10-11 11-12 12-6 12-7 13-15 14-14 15-16
65000022	0-0 1-3 2-1 4-4 6-4 7-4 8-5
65000023	0-7 1-8 2-9 3-11 5-12 6-16 6-17 7-18 8-14 8-19 9-20
65000024	0-1 1-0 3-0 4-2 5-3 6-4 7-5 8-6 9-7 11-12 13-14 15-9 15-10 16-8 17-15
45001001	0-0 2-3 3-2 4-1 5-4 6-5 7-6 9-7 10-8 11-10 12-9 13-11
45001002	0-0 2-1 3-1 4-1 5-3 5-4 6-2 7-8 8-7
45001003	0-3 1-1 1-2 3-4 4-10 5-9 6-5 7-5 8-8 9-7
45001004	1-8 2-7 3-6 4-10 4-11 5-9 6-0 6-1 7-3 8-2 9-5 10-12 11-13 12-14 14-17 15-15 15-16 16-18
45001005	0-1 1-0 2-2 3-2 4-2 5-3 6-4 7-5 9-6 10-6 11-8 12-7 13-16 14-14 14-15 15-13 16-10 17-11 17-12 18-17
45001006	0-1 1-4 3-6 4-7 5-5 7-2 8-8
45001007	0-0 1-4 2-1 2-2 3-6 4-5 5-7 6-8 7-9 8-10 9-11 10-12 11-13 12-14 13-16 15-18 16-17 18-19 19-20 20-21 21-22
45001008	0-0 1-2 2-2 3-3 3-4 4-7 5-8 6-6 7-11 8-10 9-9 11-12 12-15 13-13 13-14 14-16 15-18 16-19 16-20 17-21
45001009	0-1 1-4 1-5 3-7 4-8 5-10 5-11 6-8 8-18 9-16 9-17 10-14 10-15 12-3 13-2 14-0 15-19 16-20 17-22 17-24 18-23 19-21 20-22 20-24
45001010	0-0 1-2 1-3 2-5 5-10 6-8 7-9 9-6 9-7 10-14 10-15 11-12 11-13 13-10 14-16 15-18 16-17 17-19
45001011	0-1 1-0 2-0 3-3 4-2 5-4 6-7 7-7 8-9 9-6 10-10 11-8 13-11 14-14 15-12 15-13 16-15
45001012	0-0 1-2 4-3 5-3 6-5 7-3 8-9 9-10 9-7 11-11 12-13 13-14 14-15
45001013	0-2 1-1 2-0 3-1 5-6 7-3 8-4 9-7 10-8 12-9 13-10 14-10 15-11 16-13 17-12 18-24 19-22 20-23 21-27 22-26 24-28 25-32 26-31 26-33 28-15 29-16 30-16 31-16 32-18 32-19 33-17 34-34
45001014	0-0 1-2 2-3 3-4 4-5 5-7 6-8 7-10 8-10 9-9 10-11
45001015	0-1 0-3 1-2 3-0 5-4 6-6 8-9 9-7 11-10 12-10 13-11
45001016	0-1 1-2 2-0 3-2 4-3 4-4 6-7 7-9 8-9 9-8 10-6 12-12 13-13 13-14 14-11 15-15 16-16 17-18 19-19 20-19 21-20 22-21
